PARAM,HORIZON,LANES,MARGIN,NUM_VEHICLES,PARK_CAP_MULT,AIR_SPEED,MAX_ENDURANCE,OPERATIONAL_CAP,TAT,NETWORKS,WEATHER_SCEN,WEATHER_CUTOFF,FIXED_DIR,DEM_MIN_VERT,DEMAND_ALPHA,TIME_DISC,NUM_ROUTES,PP_ALGO,TPR,KNN,PRED_TYPE,SEEDS,TIME_LIMIT,OPT_GAP
88,120,2,10.0,3,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
89,120,4,10.0,3,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
90,120,8,10.0,3,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
91,120,2,3.0,10,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
92,120,4,3.0,10,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
93,120,8,3.0,10,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
94,120,2,5.0,10,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
95,120,4,5.0,10,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
96,120,8,5.0,10,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
97,120,2,10.0,10,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
98,120,4,10.0,10,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
99,120,8,10.0,10,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
100,120,2,3.0,20,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
101,120,4,3.0,20,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
102,120,8,3.0,20,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
103,120,2,5.0,20,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
104,120,4,5.0,20,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
